coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
CATI/USDT,-0.00014959670069953225,0.0008174148432197576,0.0004989604404035115,0.00046174579197343947,7.316905007928676e-05,0.0012904739132796263,0.00033005084223766646,0.0004209280875980932,0.0002625320762733415,0.000686847802364474,-1.1634535137475512,1.25e-05,194144.5356,535759.88227
SEI/USDT,0.0005194263689843771,0.0009682223560643877,0.000591361328375973,0.0005850954350761571,0.00048649643511319954,0.0008906423929868468,0.00033947146130633275,0.0003524012203992261,0.0010355252169475953,0.001398475295272238,-1.194483796467669,-3.09e-05,7240012.7395399995,23314859.29743
TNSR/USDT,0.0008459150869567808,0.002018087205281287,0.0007158562334862392,0.0006795603306357671,0.0006577728000990973,0.0018356268845843135,0.00036146554260268316,0.0003903330137329582,0.00035739080582463095,0.001935273500976956,-1.1990784969926414,1.25e-05,1125468.270774,1511379.084536
USTC/USDT,-0.00032423719712763106,0.001290499045127345,0.0006350230112240313,0.0005915537126749101,0.0003846218275862165,0.0018930336057415532,0.0003238818843362788,0.00037686033004357463,0.00042552072951133977,0.0020877732639369086,-1.2357188346749537,1.25e-05,474121.20354400005,252270.838435
COMP/USDT,0.00015961786992057777,0.001553290216963105,0.0006759497873502037,0.0006785899101320705,1.8990798388522743e-05,0.0012977097048027981,0.00035911321500902804,0.00047443898793012333,-1.1325877956363596e-08,0.001300246666608603,-1.307196077381797,1.25e-05,1111503.3734,1954528.92717
ALT/USDT,-0.00045089711248520167,0.0005180587328945338,0.0005815774861290894,0.0006077707243968499,6.368341152395638e-05,0.001121950145686406,0.00045067041301808476,0.00031525723986866334,0.00036065046475977386,0.0013836713319736044,-1.364811243080808,1.25e-05,482017.14638000005,2387172.25433
MERL/USDT,-0.0003536885870113652,0.0023384183877352346,0.0008664979776872659,0.0005547001137898583,-0.00038375610207214605,0.0018224005500147816,0.0003110332139727049,0.00036653757652912355,-0.0008917596195596739,0.0018446586629316222,-1.3698656407194871,1.25e-05,225668.63663999998,168159.78877
MEME/USDT,0.00024490863218556145,0.0012513459090491203,0.0005187575682272589,0.0005001225415122316,0.00014991759470440362,0.001187498533295292,0.0003380338599862627,0.0003442414306784976,0.0005197658379129221,0.0014858988029287454,-1.469051756965713,1.25e-05,1072188.87228,2496892.436327
ETHFI/USDT,-0.0014860598607101623,-0.0006353079629440642,0.00045145601688967475,0.0004871632352572398,-0.001416170127265521,-0.00046018371101830795,0.00041976521529226053,0.00044252504632158007,-0.0016043079940606072,-0.0008205675117636706,-1.5240503698551453,1.25e-05,2917284.40356,2508393.47098
STG/USDT,-4.0112853334034244e-05,0.0009949093236368617,0.0005389794805361258,0.0005007710105970253,6.502264211697083e-05,0.001086795507827919,0.00019689155743689898,0.00018976823359123432,-0.00031175945891815683,0.000680675982617478,-1.5523890939158038,1.25e-05,461919.4866,475727.40944
CRV/USDT,-0.0003522604235361864,0.0007397324046857268,0.0007035873283123766,0.0006383770807243146,-0.00015432137558081638,0.0008354707706208122,0.000626947597612317,0.0005356918832098316,0.0011040174003599179,0.002116846259266763,-1.570367296820849,1.25e-05,10766068.680399999,18458096.398824
MYRO/USDT,5.292602631097512e-05,0.0016402124657476365,0.000591767754265562,0.0005426963846319759,2.9085958726602386e-05,0.0015675135604155952,0.0004524720961814772,0.0003664704162619418,5.35032965920212e-05,0.0013169503314081885,-1.6172193532258017,1.25e-05,372550.36255200004,720491.693939
ONDO/USDT,-0.0011510970389005072,-0.0005809338229215657,0.0006641133870826288,0.0006843230342556479,-0.0005423136723924131,0.00020045140236728024,0.0004359725876152476,0.00039786796351640744,-0.0004971856391623278,0.0002152285822283982,-1.6995129600636605,-0.00022919,15645864.146399999,27971895.83439999
