coin,sell_spread_ma_M,buy_spread_ma_M,sell_spread_sd_M,buy_spread_sd_M,sell_spread_ma_L,buy_spread_ma_L,sell_spread_sd_L,buy_spread_sd_L,current_sell_spread,current_buy_spread,score,hyperliquid_funding_rate,hyperliquid_open_interest,hyperliquid_day_volume
NEAR/USDT,0.0007520674784132392,0.0012450595922965095,0.00062467083223356,0.0006113071630969427,0.0007623907364853836,0.0012078778277044898,0.00034025906908044333,0.00031464006283480863,7.42153833614394e-05,0.0005344127729945108,-1.1704123281700218,-8.72e-06,6660182.279100001,8701928.40466
XAI/USDT,0.0008358449481653659,0.0017194202354037817,0.0005981172743563997,0.000547705126586734,0.0011428609019774334,0.0020813111128404485,0.0004926769318188729,0.00047342794332466275,0.0006829606848011708,0.001615295153022946,-1.1828103230217837,1.25e-05,729344.2864399999,1189023.256566
USTC/USDT,-0.00031465986853547565,0.0012928890447097144,0.000697622357734959,0.0006092894668573514,0.00045891471685760994,0.001888838126702224,0.0002536861232081481,0.000368483558898082,0.00034456716130044283,0.0016810245298106785,-1.1968976688553516,1.25e-05,491900.60897000006,232678.130523
APT/USDT,0.0009738299931896626,0.0014180130940416814,0.000686986258483651,0.0006983961747719985,0.0004295773556188117,0.0008230283467898223,0.00032276921573116594,0.0003440523257235244,0.0007333461753642118,0.0010416284846235693,-1.2093836148897268,-1.52e-05,18687196.659879997,33712954.65126
XLM/USDT,0.00010177897430593804,0.0005227455330021885,0.0005224795707710554,0.00045810265061358335,-0.0001310117557622414,0.00023036107284273022,0.00018076469209506464,0.00012982052726913168,-0.0002151035795806562,4.7844306814628924e-05,-1.3020739675319728,1.25e-05,1696297.31404,3426946.54637
SEI/USDT,0.0005407234958322319,0.0009855893579677334,0.0006114764260943951,0.0005972403884152317,0.00042391188378787,0.0008344059875674451,0.000340888175878068,0.00039402822877949973,0.000258801639943876,0.0005349841377053975,-1.3148308164845355,-8.42e-06,7224124.124480001,24408628.69187
ZETA/USDT,0.0003114690518951248,0.001162287305878514,0.0006117895806988234,0.0006195522620372818,0.00027849016186293603,0.0011513418529636925,0.0005512541957945029,0.0004875331583500847,0.00041403153177585266,0.0012567018609797467,-1.3472477546988224,1.25e-05,638474.6860920001,703943.815235
ALT/USDT,-0.0004459325308981911,0.0005246233090472235,0.0005882197453040316,0.0006049113140819339,5.1084913238508755e-05,0.001140588854905062,0.0004459148769911971,0.00031133434159744274,0.00012083067994818664,0.0012095162686099272,-1.4015032852836282,1.065e-05,470534.883,2316685.63179
MEME/USDT,0.0002660859346105587,0.0012725329237266185,0.00053954202915585,0.0005014807725785104,0.0002657438360921365,0.0013250241665965594,0.0002839743084538364,0.00028344280744941545,0.000603711541203485,0.0015101491846875104,-1.4621586269372058,1.25e-05,1079809.493364,2528316.024482
SNX/USDT,0.0005186821472045685,0.0017415544850074235,0.0006219612617862042,0.0005646521540702491,0.0007403092995554311,0.0020261159041673822,0.0004240033070254893,0.00034428133562253605,0.0010399865036259948,0.0024983777258289672,-1.4659823838776473,1.25e-05,1357588.0836,768709.32815
COMP/USDT,0.00016497054802027091,0.0015631616371695359,0.0006130259896701464,0.0006254213731258452,4.403714616758675e-05,0.0013708943979480913,0.00036020422817904064,0.00047200827081036995,9.389010472879901e-05,0.0016917465324688139,-1.4770382099127837,1.25e-05,1137110.5243999998,1856511.13312
TRX/USDT,0.00032010229553074815,0.0006376754732272355,0.0006021074382912958,0.0006259682141133947,0.0003153166626291592,0.000619185430778642,0.00020333250819064725,0.00025611173997607374,0.0004577810681948887,0.000810102799738834,-1.5074419782963175,1.25e-05,9499862.8064,8973016.60155
TNSR/USDT,0.0008719029486770791,0.0020596788545157838,0.0007149828089084866,0.000661360977845442,0.0005737419069327626,0.0018654530523301985,0.00039254368067895295,0.0004081110262964537,0.0004282743843241172,0.001747698206009136,-1.5203376303459823,4.8e-06,1176379.096738,1471265.59011
MERL/USDT,-0.00034673561416801,0.002332687315194643,0.0008551133032485269,0.0005502230812230476,-0.0003689248905383097,0.0017273842253220835,0.00031350208208135355,0.0002759947814507083,-8.99942561068658e-05,0.0015601121803464973,-1.6384543578357011,1.25e-05,224529.4624,173966.78722
CATI/USDT,-0.00014945799816647412,0.0008174876972847219,0.000600270831936948,0.0005585645009625971,9.076008931345345e-05,0.001219570264671877,0.000322158412317242,0.00042708198569305094,0.00016260777062518316,0.0014849770253416957,-1.663976858474956,1.25e-05,192455.8654,560437.80758
STG/USDT,-2.7680813960613228e-05,0.0010054359397923057,0.0006345353711719764,0.0004867654284532644,0.00011057286727319682,0.0011410690170015508,0.0002239806579730678,0.00023950490221879558,0.00031439731311174417,0.001687161677695667,-1.6744779735285278,1.25e-05,457823.41224,475418.05744
OMNI/USDT,-0.0010932192153532165,5.786843413906694e-05,0.00041722909546351884,0.00036942032167426846,-0.0009072480166050964,0.00018299875269659407,0.00033253819682762284,0.00025565893421563034,-0.0008142949703849744,0.00016302467849846843,-1.777236544358136,8.25e-06,333636.95134,485552.224841
